请,qing/Please
谢谢,xiexie/Thank you
怎么了,zenmele/What's up? / What happened?
网站,wangzhan/Website
下载,xiazai/Download
打印,dayin/Print
另存为,lingcunwei/Save as
选项,xuanxiang/Options
菜单,caidan/Menu
网址,wangzhi/Web address
浏览器,liulanqi/Browser
点击,dianji/Click
账号,zhanghao/Account
密码,mima/Password
登录,denglu/Login
注册,zhuce/Register
设置,shezhi/Settings
搜索,sousuo/Search
分享,fenxiang/Share
关注,guanzhu/Follow
取消,quxiao/Cancel
确认,queren/Confirm
删除,shanchu/Delete
更新,gengxin/Update
软件,ruanjian/Software
程序,chengxu/Program / Procedure
文件,wenjian/File
文件夹,wenjianjia/Folder
网络,wangluo/Internet / Network
链接,lianjie/Link
